name,code,latitude,longitude
Acapulco International Airport,ACA,16.757059,-99.753899
Aguascalientes International Airport,AGU,21.705549,-102.317001
Cabo San Lucas International Airport,CSL,22.947701,-109.936996
Campeche International Airport,CPE,19.81679,-90.500298
Cancun International Airport,CUN,21.03652,-86.876999
Chetumal International Airport,CTM,18.50466,-88.326797
Chihuahua International Airport,CUU,28.702869,-105.963997
Ciudad Constitucion Airport,CUA,25.053801,-111.614998
Ciudad del Carmen International Airport,CME,18.65373,-91.799004
Ciudad Juarez International Airport,CJS,31.636129,-106.428001
Ciudad Obregon International Airport,CEN,27.39263,-109.833
Ciudad Victoria International Airport,CVM,23.703329,-98.956398
Colima Airport,CLQ,19.27701,-103.577003
Cozumel International Airport,CZM,20.5224,-86.925598
Cuernavaca General Mariano Matamoros Airport,CVJ,18.834761,-99.261299
Culiacan International Airport,CUL,24.76454,-107.473999
Durango International Airport,DGO,24.124189,-104.528
El Lencero Jalapa Airport,JAL,19.472221,-96.781944
Ensenada Airport,ESE,31.79528,-116.601997
Guadalajara International Airport,GDL,20.521799,-103.310997
Guaymas International Airport,GYM,27.968981,-110.925003
Hermosillo International Airport,HMO,29.09585,-111.046997
Huatulco International Airport,HUX,15.77531,-96.262497
Ixtepec Airport,IZT,16.449301,-95.093697
La Paz International Airport,LAP,24.072689,-110.362
Lazaro Cardenas Airport,LZC,18.00173,-102.220001
Loreto International Airport,LTO,25.989189,-111.348
Los Mochis International Airport,LMM,25.68519,-109.080002
Manzanillo Playa de Oro International Airport,ZLO,19.14477,-104.557999
Matamoros International Airport,MAM,25.76989,-97.525299
Mazatlan International Airport,MZT,23.16135,-106.265999
Merida Rejon Airport,MID,20.936979,-89.6576
Mexicali International Airport,MXL,32.63063,-115.240997
Mexico City International Airport,MEX,19.4363,-99.071999
Mexico City Santa Lucia Airport,NLU,19.755301,-99.016403
Minatitlan Coatzacoalcos International Airport,MTT,18.103411,-94.580597
Monclova International Airport,LOV,26.95573,-101.470001
Monterrey International Airport,MTY,25.778481,-100.106003
Monterrey Del Norte International Airport,NTR,25.86557,-100.237
Morelia International Airport,MLM,19.849939,-101.025002
Nuevo Laredo Quetzalcoatl International Airport,NLD,27.443911,-99.570396
Oaxaca Xoxocotlan International Airport,OAX,16.999901,-96.726601
Piedras Negras International Airport,PDS,28.62739,-100.535004
Poza Rica El Tajin National Airport,PAZ,20.602671,-97.4608
Puebla Hermanos Serdan International Airport,PBC,19.15814,-98.371399
Puerto Escondido International Airport,PXM,15.87686,-97.089104
Puerto Vallarta International Airport,PVR,20.68008,-105.253998
Queretaro International Airport,QRO,20.617279,-100.184998
Reynosa General Lucio Blanco International Airport,REX,26.0089,-98.2285
Saltillo Plan de Guadalupe Airport,SLW,25.54949,-100.928001
San Jose del Cabo Los Cabos International Airport,SJD,23.15185,-109.721001
San Luis Potosi Ponciano Arriaga International Airport,SLP,22.254299,-100.93
Silao Del Bajio International Airport,BJX,20.99346,-101.480003
Tampico International Airport,TAM,22.29645,-97.865898
Tapachula International Airport,TAP,14.79433,-92.370003
Tepic Amado Nervo International Airport,TPQ,21.419451,-104.842003
Tijuana International Airport,TIJ,32.541061,-116.970001
Toluca International Airport,TLC,19.33707,-99.566002
Torreon Francisco Sarabia International Airport,TRC,25.56827,-103.410004
Tuxtla Gutierrez International Airport,TGZ,16.561819,-93.026001
Uruapan International Airport,UPN,19.39669,-102.039001
Veracruz International Airport,VER,19.145929,-96.187202
Villahermosa International Airport,VSA,17.997,-92.817299
Zacatecas International Airport,ZCL,22.89711,-102.685997
Zihuatanejo Ixtapa International Airport,ZIH,17.601561,-101.459999
